 2021/07/29	   27.20	   27.51	   26.80	   27.08	       23086552	           	           	           	           	           	           	           	           	           	          0	     230866	           	           	       0.00	       0.00	       0.00	
 2021/07/30	   26.96	   26.98	   26.33	   26.39	       23696352	           	           	           	           	           	           	           	           	           	          0	     236964	           	           	      -0.06	      -0.01	      -0.09	
 2021/08/02	   26.21	   27.62	   25.63	   27.23	       36683072	           	           	           	           	           	           	           	           	           	          0	     366831	           	           	      -0.03	      -0.01	      -0.03	
 2021/08/03	   26.93	   27.56	   26.84	   26.88	       28209552	           	           	           	           	           	           	           	           	           	          0	     282096	           	           	      -0.04	      -0.02	      -0.04	
 2021/08/04	   26.77	   26.98	   26.53	   26.79	       18495332	      26.87	           	           	           	           	           	           	           	           	          0	     184953	     260342	           	      -0.05	      -0.03	      -0.05	
 2021/08/05	   26.70	   26.96	   26.12	   26.21	       21240220	      26.70	           	           	           	           	           	           	           	           	          0	     212402	     256649	           	      -0.11	      -0.04	      -0.13	
 2021/08/06	   26.23	   26.61	   26.19	   26.38	       17356922	      26.70	           	           	           	           	           	           	           	           	          0	     173569	     243970	           	      -0.14	      -0.06	      -0.15	
 2021/08/09	   26.38	   27.30	   26.31	   27.10	       26578424	      26.67	           	           	           	           	           	           	           	           	          0	     265784	     223761	           	      -0.10	      -0.07	      -0.06	
 2021/08/10	   27.06	   27.79	   26.80	   27.71	       30865196	      26.84	           	           	           	           	           	           	           	           	          0	     308652	     229072	           	      -0.02	      -0.06	       0.07	
 2021/08/11	   27.98	   28.18	   27.24	   27.42	       28210328	      26.96	      26.92	           	           	           	           	           	           	           	          0	     282103	     248502	     254422	       0.02	      -0.05	       0.12	
 2021/08/12	   27.20	   27.58	   27.06	   27.15	       15483720	      27.15	      26.93	           	           	           	           	           	           	           	          0	     154837	     236989	     246819	       0.02	      -0.03	       0.11	
 2021/08/13	   27.18	   27.38	   26.89	   27.28	       14922920	      27.33	      27.02	           	           	           	           	           	           	           	          0	     149229	     232121	     238046	       0.04	      -0.02	       0.11	
 2021/08/16	   27.28	   28.00	   27.27	   27.72	       26417116	      27.46	      27.06	           	           	           	           	           	           	           	          0	     264171	     231799	     227780	       0.09	       0.00	       0.17	
 2021/08/17	   27.56	   29.89	   27.54	   28.24	       60502080	      27.56	      27.20	           	           	           	           	           	           	           	          0	     605021	     291072	     260072	       0.17	       0.04	       0.26	
 2021/08/18	   28.13	   31.06	   28.00	   31.06	       91558912	      28.29	      27.63	           	           	           	           	           	           	           	          0	     915589	     417770	     333136	       0.45	       0.12	       0.66	
 2021/08/19	   31.25	   31.26	   29.29	   29.35	       72114656	      28.73	      27.94	           	           	           	           	           	           	           	          0	     721147	     531031	     384010	       0.53	       0.20	       0.66	
 2021/08/20	   29.30	   29.72	   28.35	   28.78	       46804628	      29.03	      28.18	           	           	           	           	           	           	           	          0	     468046	     594795	     413458	       0.54	       0.27	       0.55	
 2021/08/23	   28.99	   29.26	   28.43	   28.81	       33163484	      29.25	      28.35	           	           	           	           	           	           	           	          0	     331635	     608288	     420043	       0.55	       0.33	       0.45	
 2021/08/24	   28.80	   29.63	   28.38	   29.36	       44092104	      29.47	      28.52	           	           	           	           	           	           	           	          0	     440921	     575468	     433270	       0.59	       0.38	       0.42	
 2021/08/25	   29.01	   29.25	   28.69	   28.83	       26220552	      29.03	      28.66	      27.79	           	           	           	           	           	           	          0	     262206	     444791	     431280	       0.57	       0.42	       0.31	
 2021/08/26	   28.80	   29.15	   28.36	   28.37	       26694840	      28.83	      28.78	      27.85	           	           	           	           	           	           	          0	     266948	     353951	     442491	       0.52	       0.44	       0.16	
 2021/08/27	   27.99	   27.99	   26.94	   26.98	       45611600	      28.47	      28.75	      27.88	           	           	           	           	           	           	          0	     456116	     351565	     473180	       0.36	       0.42	      -0.13	
 2021/08/30	   26.96	   27.15	   26.08	   26.81	       34682544	      28.07	      28.66	      27.86	           	           	           	           	           	           	          0	     346825	     354603	     481445	       0.21	       0.38	      -0.33	
 2021/08/31	   26.77	   28.44	   26.60	   27.98	       43398044	      27.79	      28.63	      27.92	           	           	           	           	           	           	          0	     433980	     353215	     464341	       0.19	       0.34	      -0.30	
 2021/09/01	   27.99	   30.78	   27.74	   30.78	      136277296	      28.18	      28.61	      28.12	           	           	           	           	           	           	          0	    1362773	     573329	     509060	       0.40	       0.35	       0.09	
 2021/09/02	   30.01	   31.14	   29.83	   30.72	      107530880	      28.65	      28.74	      28.34	           	           	           	           	           	           	          0	    1075309	     735001	     544476	       0.55	       0.39	       0.31	
 2021/09/03	   32.49	   33.04	   30.69	   30.99	      142113600	      29.46	      28.96	      28.57	           	           	           	           	           	           	          0	    1421136	     928005	     639785	       0.68	       0.45	       0.46	
 2021/09/06	   30.70	   33.68	   30.55	   33.00	       99779200	      30.69	      29.38	      28.87	           	           	           	           	           	           	          0	     997792	    1058198	     706401	       0.94	       0.55	       0.78	
 2021/09/07	   32.61	   34.29	   32.22	   33.70	       91696688	      31.84	      29.82	      29.17	           	           	           	           	           	           	          0	     916967	    1154795	     754005	       1.19	       0.68	       1.02	
 2021/09/08	   33.30	   34.45	   32.57	   32.67	       73655704	      32.22	      30.20	      29.43	           	           	           	           	           	           	          0	     736557	    1029552	     801440	       1.28	       0.80	       0.97	
 2021/09/09	   32.03	   32.47	   31.67	   31.98	       52857492	      32.47	      30.56	      29.67	           	           	           	           	           	           	          0	     528575	     920205	     827603	       1.29	       0.90	       0.79	
 2021/09/10	   32.13	   33.51	   31.92	   32.17	       68108080	      32.70	      31.08	      29.91	           	           	           	           	           	           	          0	     681081	     772194	     850100	       1.30	       0.98	       0.64	
 2021/09/13	   32.08	   32.81	   31.75	   31.90	       40378316	      32.48	      31.59	      30.12	           	           	           	           	           	           	          0	     403783	     653393	     855795	       1.26	       1.03	       0.46	
 2021/09/14	   31.71	   32.28	   30.82	   31.11	       41769936	      31.97	      31.90	      30.27	           	           	           	           	           	           	          0	     417699	     553539	     854167	       1.16	       1.06	       0.20	
 2021/09/15	   31.12	   31.58	   30.85	   31.10	       24838910	      31.65	      31.93	      30.27	           	           	           	           	           	           	          0	     248389	     455906	     742729	       1.07	       1.06	       0.01	
 2021/09/16	   31.13	   31.38	   30.37	   30.48	       34276276	      31.35	      31.91	      30.33	           	           	           	           	           	           	          0	     342763	     418743	     669474	       0.93	       1.03	      -0.21	
 2021/09/17	   30.70	   32.08	   30.61	   31.97	       50107048	      31.31	      32.01	      30.49	           	           	           	           	           	           	          0	     501070	     382741	     577468	       0.93	       1.01	      -0.16	
 2021/09/22	   31.20	   33.20	   31.14	   32.64	       47839808	      31.46	      31.97	      30.68	           	           	           	           	           	           	          0	     478398	     397664	     525528	       0.98	       1.01	      -0.06	
 2021/09/23	   32.69	   32.99	   31.94	   32.41	       38255696	      31.72	      31.84	      30.83	           	           	           	           	           	           	          0	     382557	     390635	     472087	       0.98	       1.00	      -0.04	
 2021/09/24	   32.41	   32.86	   31.83	   32.02	       29864762	      31.90	      31.78	      30.99	           	           	           	           	           	           	          0	     298648	     400687	     428296	       0.95	       0.99	      -0.09	
 2021/09/27	   31.77	   32.28	   31.23	   31.54	       32252416	      32.12	      31.73	      31.15	           	           	           	           	           	           	          0	     322524	     396639	     407691	       0.87	       0.97	      -0.20	
 2021/09/28	   31.55	   32.49	   31.55	   31.97	       30468320	      32.12	      31.71	      31.40	           	           	           	           	           	           	          0	     304683	     357362	     370051	       0.83	       0.94	      -0.22	
 2021/09/29	   31.55	   31.72	   30.95	   31.10	       30203580	      31.81	      31.63	      31.61	           	           	           	           	           	           	          0	     302036	     322090	     359877	       0.72	       0.90	      -0.35	
 2021/09/30	   31.25	   31.50	   30.70	   30.90	       20209502	      31.51	      31.61	      31.76	           	           	           	           	           	           	          0	     202095	     285997	     338316	       0.61	       0.84	      -0.45	
 2021/10/08	   31.15	   31.39	   30.90	   31.23	       18193984	      31.35	      31.63	      31.78	           	           	           	           	           	           	          0	     181940	     262656	     331671	       0.55	       0.78	      -0.47	
 2021/10/11	   31.27	   31.50	   29.53	   29.86	       35148692	      31.01	      31.56	      31.74	           	           	           	           	           	           	          0	     351487	     268448	     332544	       0.38	       0.70	      -0.64	
 2021/10/12	   29.60	   29.77	   28.39	   28.95	       33590448	      30.41	      31.26	      31.64	           	           	           	           	           	           	          0	     335904	     274692	     316027	       0.17	       0.59	      -0.85	
 2021/10/13	   28.94	   29.50	   28.70	   29.10	       16379294	      30.01	      30.91	      31.44	           	           	           	           	           	           	          0	     163793	     247044	     284567	       0.02	       0.48	      -0.92	
 2021/10/14	   29.11	   29.30	   28.77	   29.20	       13054949	      29.67	      30.59	      31.22	           	           	           	           	           	           	          0	     130549	     232735	     259366	      -0.09	       0.36	      -0.92	
 2021/10/15	   29.09	   29.36	   28.91	   29.03	       15557363	      29.23	      30.29	      31.03	           	           	           	           	           	           	          0	     155574	     227461	     245059	      -0.19	       0.25	      -0.89	
 2021/10/18	   29.04	   29.18	   28.56	   28.61	       16525483	      28.98	      29.99	      30.86	           	           	           	           	           	           	          0	     165255	     190215	     229332	      -0.30	       0.14	      -0.89	
 2021/10/19	   28.60	   29.35	   28.56	   28.99	       18855310	      28.99	      29.70	      30.71	           	           	           	           	           	           	          0	     188553	     160745	     217719	      -0.36	       0.04	      -0.80	
 2021/10/20	   28.99	   29.19	   28.70	   28.85	       13348262	      28.94	      29.47	      30.55	           	           	           	           	           	           	          0	     133483	     154683	     200863	      -0.40	      -0.05	      -0.71	
 2021/10/21	   28.92	   29.35	   28.61	   29.14	       21202404	      28.92	      29.30	      30.45	           	           	           	           	           	           	          0	     212024	     170978	     201856	      -0.41	      -0.12	      -0.59	
 2021/10/22	   29.15	   29.39	   28.89	   29.19	       18410152	      28.96	      29.09	      30.36	           	           	           	           	           	           	          0	     184102	     176683	     202072	      -0.41	      -0.18	      -0.47	
 2021/10/25	   29.00	   29.98	   28.88	   29.86	       26672974	      29.21	      29.09	      30.33	           	           	           	           	           	           	          0	     266730	     196978	     193597	      -0.35	      -0.21	      -0.28	
 2021/10/26	   29.65	   29.97	   29.38	   29.45	       17722952	      29.30	      29.14	      30.20	           	           	           	           	           	           	          0	     177230	     194713	     177729	      -0.34	      -0.24	      -0.20	
 2021/10/27	   29.35	   29.37	   28.55	   28.55	       18123598	      29.24	      29.09	      30.00	           	           	           	           	           	           	          0	     181236	     204264	     179473	      -0.39	      -0.27	      -0.24	
 2021/10/28	   28.45	   28.74	   28.20	   28.20	       16298879	      29.05	      28.99	      29.79	           	           	           	           	           	           	          0	     162989	     194457	     182717	      -0.46	      -0.31	      -0.30	
 2021/10/29	   27.67	   28.64	   27.21	   28.29	       24762188	      28.87	      28.91	      29.60	      29.46	           	           	           	           	           	          0	     247622	     207161	     191922	      -0.50	      -0.34	      -0.30	
